year,player1,player2,games1,games2
2013,Lee CW,T Sugiarto,2,0
2013,K Parupalli,Du Pengyu,1,2
2013,J Ø Jørgensen,Nguyễn TM,1,2
2013,Lin D,Chen L,2,0
2013,Lee CW,S Evans,2,0
2013,M Zilberman,D H Rumbaka,0,2
2013,V Ivanov,M Lahnsteiner,2,0
2013,Y Tan,Wang ZM,0,2
2013,M Zwiebler,V Atrashchenkov,2,1
2013,H Shu,T Penty,0,2
2013,Hsu J-h,Simon Santoso,2,1
2013,H-K Vittinghus,T Sugiarto,1,2
2013,Hu Y,N Karunaratne,2,0
2013,E Ekiring,Jarolim Vicen,2,0
2013,P Koukal,E Meijs,2,1
2013,R Must,K Parupalli,1,2
2013,T Ueda,Ashton Chen Yong Zhao,2,1
2013,V Lång,V Axelsen,0,2
2013,Son W-h,Du Pengyu,1,2
2013,B Ponsana,Matthieu Lo Ying Ping,2,0
2013,M Myhre,H Hurskainen,0,2
2013,Chou T-c,I Utrosa,2,0
2013,Lee D-k,J Ø Jørgensen,1,2
2013,Wong W K,A Jayaram,1,2
2013,O Guerrero,P Abián,0,2
2013,D Domke,J Frohlich,2,0
2013,J Wu,Nguyễn TM,0,2
2013,Lin D,S Pongnairat,2,0
2013,D Zavadsky,E Heino,2,0
2013,R Ouseph,Chong W F,0,2
2013,Sony Dwi Kuncoro,Derek Wong Zi Liang,0,2
2013,V Malkov,Liew D,1,2
2013,S Sasaki,Alistair Casey,2,0
2013,L Wraber,Chen L,0,2
2013,Lee CW,Du Pengyu,2,1
2013,Nguyễn TM,Lin D,0,2
2013,Lee CW,D H Rumbaka,2,1
2013,V Ivanov,Wang ZM,1,2
2013,M Zwiebler,T Penty,2,0
2013,Hsu J-h,T Sugiarto,0,2
2013,Hu Y,E Ekiring,2,0
2013,P Koukal,K Parupalli,0,1
2013,T Ueda,V Axelsen,2,0
2013,T Saensomboonsuk,Du Pengyu,1,2
2013,B Ponsana,H Hurskainen,2,1
2013,Chou T-c,J Ø Jørgensen,1,2
2013,A Jayaram,P Abián,0,2
